sector,week_end_date,weekly_avg_close,revenue_ttm,eps_ttm,fcf_ttm,net_income_ttm,rev_qoq,rev_yoy,eps_qoq,eps_yoy,market_cap,pe_ttm,ps_ttm,fcf_yield_ttm,ret_1w,ret_4w,ret_12w,sma_4w,sma_12w,sma_24w,price_vs_sma_4w,price_vs_sma_12w,price_vs_sma_24w,Gross Margin %,Operating Income %,Net Profit %
Healthcare,2024-02-02,131,1660000000.0,1.18,395000000.0,348000000.0,,,,,38488582745.3613,110.9437,23.1859,0.0103,,,,130.9135,130.9135,130.9135,0.0,0.0,0.0,0.5476,0.2316,0.2099
Healthcare,2024-02-09,132,1660000000.0,1.18,395000000.0,348000000.0,,,,,38816466137.6953,111.8888,23.3834,0.0102,0.0085,,,131.4712,131.4712,131.4712,0.0042,0.0042,0.0042,0.5476,0.2316,0.2099
Healthcare,2024-02-16,131,1660000000.0,1.18,395000000.0,348000000.0,,,,,38527462738.0371,111.0558,23.2093,0.0103,-0.0074,,,131.3294,131.3294,131.3294,-0.0022,-0.0022,-0.0022,0.5476,0.2316,0.2099
Healthcare,2024-02-23,132,1660000000.0,1.18,395000000.0,348000000.0,,,,,38701562049.8657,111.5576,23.3142,0.0102,0.0045,,,131.4065,131.4065,131.4065,0.0018,0.0018,0.0018,0.5476,0.2316,0.2099
Healthcare,2024-03-01,134,1660000000.0,1.18,395000000.0,348000000.0,,,,,39314956201.1719,113.3257,23.6837,0.01,0.0158,0.0215,,132.1092,131.8701,131.8701,0.0122,0.0141,0.0141,0.5476,0.2316,0.2099
Healthcare,2024-03-08,144,1660000000.0,1.18,395000000.0,348000000.0,,,,,42398779156.4941,122.2149,25.5414,0.0093,0.0784,0.0923,,135.1554,133.9273,133.9273,0.067,0.0768,0.0768,0.5476,0.2316,0.2099
Healthcare,2024-03-15,145,1660000000.0,1.18,395000000.0,348000000.0,,,,,42690683258.0566,123.0563,25.7173,0.0093,0.0069,0.1081,,138.6956,135.5386,135.5386,0.0469,0.0713,0.0713,0.5476,0.2316,0.2099
Healthcare,2024-03-22,145,1660000000.0,1.18,395000000.0,348000000.0,,,,,42766701745.6055,123.2754,25.7631,0.0092,0.0018,0.105,,142.1523,136.7794,136.7794,0.0233,0.0635,0.0635,0.5476,0.2316,0.2099
Healthcare,2024-03-29,144,1660000000.0,1.18,395000000.0,348000000.0,,,,,42279957595.8252,121.8724,25.4699,0.0093,-0.0114,0.0754,,144.6736,137.5605,137.5605,-0.006,0.0454,0.0454,0.5476,0.2316,0.2099
Healthcare,2024-04-05,142,1660000000.0,1.18,395000000.0,348000000.0,,,,,41788161218.2617,120.4547,25.1736,0.0095,-0.0116,-0.0144,,144.1543,138.0181,138.0181,-0.014,0.0298,0.0298,0.5476,0.2316,0.2099
Healthcare,2024-04-12,143,1660000000.0,1.18,395000000.0,348000000.0,,,,,41952658740.2344,120.9289,25.2727,0.0094,0.0039,-0.0173,,143.5268,138.4434,138.4434,-0.0058,0.0307,0.0307,0.5476,0.2316,0.2099
Healthcare,2024-04-19,134,1660000000.0,1.18,395000000.0,348000000.0,,,,,39336395196.5332,113.3875,23.6966,0.01,-0.0624,-0.0802,,140.6098,138.0562,138.0562,-0.0485,-0.0308,-0.0308,0.5476,0.2316,0.2099
Healthcare,2024-04-26,135,1660000000.0,1.18,395000000.0,348000000.0,,,,,39799660528.5644,114.7229,23.9757,0.0099,0.0118,-0.0587,0.0341,138.5007,138.4278,137.8498,-0.0226,-0.0221,-0.018,0.5476,0.2316,0.2099
